누적투자유치금액,기업추천수,지역명,투자일자,투자단계명,투자금액,기업가치금액,앱스토어 등록,구글플레이 등록,설립일자_분류,기술스택_개수,산업구분명_분류
950000000.0,0,비수도권,20150608,Seed,300000000.0,,1,1,2017년 이전,1,IT
110000000.0,5,수도권,20170310,Seed,,,1,1,2017년 이전,24,IT
8200000000.0,7,수도권,20190520,Seed,200000000.0,,0,0,2017년 이후,40,None IT
9200000000.0,4,수도권,20120401,Angel,400000000.0,,0,0,2017년 이전,30,IT
50000000.0,0,수도권,20130701,투자 단계 비공개,50000000.0,,0,0,2017년 이전,1,None IT
195000000.0,5,수도권,20180531,Angel,35000000.0,1040000000.0,0,0,2017년 이후,1,None IT
200000000.0,1,수도권,20210607,투자 단계 비공개,200000000.0,1800000000.0,0,0,2017년 이후,15,None IT
56500000.0,0,수도권,20160722,Seed,31500000.0,,0,1,2017년 이전,18,IT
11000004000.0,5,수도권,20200731,Series A,2000004000.0,,0,0,2017년 이후,25,IT
200000000.0,1,비수도권,20210930,투자 단계 비공개,200000000.0,2000000000.0,0,0,2017년 이후,1,IT
2500000000.0,1,수도권,20130305,투자 단계 비공개,2500000000.0,,0,0,2017년 이전,1,IT
635000000.0,8,비수도권,20160701,투자 단계 비공개,286000000.0,,1,1,2017년 이전,49,IT
1000000000.0,2,수도권,20210820,투자 단계 비공개,1000000000.0,,0,0,2017년 이후,14,None IT
4000000000.0,3,수도권,20191031,Series A,4000000000.0,,0,0,2017년 이전,1,None IT
3600000000.0,1,수도권,20200709,Seed,3600000000.0,,1,1,2017년 이후,23,None IT
400000000.0,1,수도권,20160525,Seed,300000000.0,,1,1,2017년 이전,18,None IT
9000000000.0,1,수도권,20140514,투자 단계 비공개,9000000000.0,,0,0,2017년 이전,1,IT
1500000000.0,0,수도권,20160428,투자 단계 비공개,1500000000.0,,1,1,2017년 이전,1,IT
7000000000.0,0,수도권,20180730,투자 단계 비공개,2000000000.0,,0,0,2017년 이전,1,None IT
2500000000.0,5,수도권,20190107,투자 단계 비공개,2500000000.0,,0,0,2017년 이전,32,IT
5000000000.0,1,수도권,20150312,투자 단계 비공개,5000000000.0,,1,1,2017년 이전,1,IT
2580000000.0,15,수도권,20190528,Seed,2400000000.0,,0,0,2017년 이후,16,IT
100000000000.0,1,수도권,20150817,투자 단계 비공개,100000000000.0,,0,0,2017년 이전,3,IT
100000000.0,0,수도권,20160104,투자 단계 비공개,100000000.0,,0,1,2017년 이전,15,IT
6440000000.0,16,수도권,20171226,투자 단계 비공개,500000000.0,,1,1,2017년 이전,37,IT
220000000.0,1,수도권,20180615,투자 단계 비공개,100000000.0,,0,1,2017년 이전,24,IT
1000000000.0,6,수도권,20191001,Seed,500000000.0,,1,1,2017년 이후,16,None IT
1100000000.0,0,수도권,20120301,Angel,500000000.0,,1,1,2017년 이전,1,IT
2000000000.0,4,수도권,20180608,투자 단계 비공개,2000000000.0,,0,0,2017년 이전,19,IT
1700000000.0,21,수도권,20160414,해당없음,100000000.0,,1,1,2017년 이전,23,IT
5970000000.0,6,수도권,20160126,Seed,270000000.0,,0,1,2017년 이전,33,IT
4500000000.0,3,수도권,20170202,Seed,3600000000.0,,0,0,2017년 이전,31,IT
200000000.0,3,수도권,20210622,Seed,200000000.0,,0,0,2017년 이후,14,None IT
500000000.0,0,수도권,20131201,투자 단계 비공개,500000000.0,,0,0,2017년 이전,1,IT
330000000.0,0,수도권,20121207,투자 단계 비공개,300000000.0,,0,0,2017년 이전,1,IT
702000000.0,19,수도권,20170701,투자 단계 비공개,20000000.0,,0,0,2017년 이후,16,IT
27800000000.0,4,수도권,20210907,Series B,18500000000.0,100000000000.0,1,1,2017년 이후,28,IT
9000000000.0,1,수도권,20000312,투자 단계 비공개,9000000000.0,,0,0,2017년 이전,1,IT
50000000.0,0,비수도권,20150101,투자 단계 비공개,50000000.0,,0,0,2017년 이전,1,None IT
150000000.0,2,수도권,20181019,Seed,150000000.0,4000000000.0,0,0,2017년 이전,1,IT
150000000.0,0,수도권,20150930,투자 단계 비공개,150000000.0,,0,0,2017년 이전,1,IT
1000000000.0,0,수도권,20140701,Seed,1000000000.0,,0,0,2017년 이전,1,IT
47500000.0,3,수도권,20201023,Seed,47500000.0,1500000000.0,0,0,2017년 이전,25,IT
542000000.0,9,수도권,20211125,투자 단계 비공개,80000000.0,,0,0,2017년 이후,20,IT
7000000000.0,14,수도권,20150601,투자 단계 비공개,6000000000.0,,1,1,2017년 이전,53,IT
1500000000.0,1,수도권,20151104,투자 단계 비공개,1500000000.0,,0,0,2017년 이전,1,IT
20000000.0,1,수도권,20210428,해당없음,20000000.0,,0,0,2017년 이후,4,None IT
5330000000.0,25,수도권,20160927,Series A,1000000000.0,,1,1,2017년 이전,34,IT
500000000.0,1,수도권,20211020,Seed,500000000.0,,0,0,2017년 이후,14,IT
2250000000.0,5,비수도권,20180619,Angel,100000000.0,2500000000.0,0,0,2017년 이후,1,None IT
700000000.0,3,수도권,20150510,투자 단계 비공개,,,0,0,2017년 이전,22,IT
60000000.0,1,수도권,20210421,Angel,60000000.0,1.0,1,1,2017년 이후,7,IT
42000000.0,1,수도권,20210531,투자 단계 비공개,42000000.0,,0,0,2017년 이후,1,None IT
49200000000.0,3,비수도권,20171207,Series B,31000000000.0,54000000000.0,1,1,2017년 이전,16,IT
66268844.0,0,수도권,20200825,투자 단계 비공개,66268844.0,,0,0,2017년 이후,1,None IT
1500000000.0,0,수도권,20160801,Series A,1500000000.0,,0,0,2017년 이전,1,IT
67350000000.0,9,수도권,20211014,투자 단계 비공개,45300000000.0,,0,0,2017년 이전,25,IT
100000000.0,3,수도권,20211028,투자 단계 비공개,100000000.0,,1,1,2017년 이후,19,None IT
600000000.0,2,비수도권,20190731,투자 단계 비공개,,,0,0,2017년 이전,17,IT
40000000.0,0,수도권,20140602,Angel,40000000.0,,1,1,2017년 이전,1,None IT
1200000000.0,0,수도권,20200301,투자 단계 비공개,1000000000.0,,0,0,2017년 이후,1,IT
4700000000.0,20,수도권,20171108,투자 단계 비공개,3000000000.0,,0,0,2017년 이전,20,IT
14000000000.0,1,수도권,20210423,Series B,10000000000.0,,0,0,2017년 이후,23,IT
420000000.0,4,수도권,20171229,Angel,20000000.0,2000000000.0,0,0,2017년 이전,1,IT
1000000000.0,0,수도권,20150127,투자 단계 비공개,1000000000.0,,0,1,2017년 이전,1,IT
10500000000.0,2,수도권,20160701,투자 단계 비공개,,,0,0,2017년 이전,16,IT
170000000.0,1,수도권,20170911,Series A,170000000.0,17000000000.0,1,1,2017년 이전,8,IT
150500000.0,1,수도권,20191105,Seed,150500000.0,,0,0,2017년 이후,7,None IT
1000000000.0,5,수도권,20150407,투자 단계 비공개,1000000000.0,,0,0,2017년 이전,30,IT
1000000000.0,12,수도권,20150803,투자 단계 비공개,,3000000000.0,0,1,2017년 이전,1,IT
8500000000.0,0,수도권,20140723,투자 단계 비공개,4000000000.0,,0,0,2017년 이전,1,IT
100000000.0,2,비수도권,20210913,Seed,100000000.0,1000000000.0,0,0,2017년 이후,19,None IT
12500000000.0,4,수도권,20171012,투자 단계 비공개,7500000000.0,,1,1,2017년 이전,1,IT
800000000.0,21,수도권,20210617,Series A,800000000.0,,1,1,2017년 이후,24,IT
550000000.0,2,수도권,20210325,Seed,500000000.0,,0,0,2017년 이후,13,None IT
12500000000.0,3,수도권,20140401,투자 단계 비공개,,,1,1,2017년 이전,1,IT
1093000000.0,10,수도권,20210701,해당없음,,,0,0,2017년 이후,8,IT
3602000000.0,12,수도권,20151223,투자 단계 비공개,2000000000.0,8000000000.0,1,1,2017년 이전,23,IT
170000000.0,0,수도권,20200330,Angel,170000000.0,1650000000.0,0,0,2017년 이후,11,IT
1893920000.0,4,수도권,20210601,해당없음,193920000.0,,0,0,2017년 이후,21,IT
228200000000.0,1,수도권,20160217,투자 단계 비공개,36300000000.0,,0,1,2017년 이전,1,IT
5500019800.0,13,수도권,20170707,투자 단계 비공개,,,0,0,2017년 이전,17,IT
3220000000.0,7,수도권,20160922,투자 단계 비공개,1500000000.0,,0,0,2017년 이전,1,IT
623195000.0,1,수도권,20171201,Series A,133195000.0,,0,0,2017년 이전,1,IT
