투자일련번호,기업일련번호,투자일자,투자단계명,투자금액,기업가치금액,투자유치비고,보도자료발행사명,보도자료제목,보도자료url,투자기관번호
9687,33671,20171226,투자 단계 비공개,,,,더벨,인공와우 개발 '토닥'|| 재기지원펀드 투자 유치                                                                                                                                                                                                                                                                                  ,http://m.thebell.co.kr/m/newsview.asp?svccode=00&newskey=201712260100040850002474,80646
9697,160707,20210712,Series A,,,,,,,140982||11457||7724
9688,150044,20210602,Angel,42500000,300000000,,,,,
9695,160956,20211201,Angel,230000000,200000000,,,,,131356
9694,91758,20210701,Series A,3000000000,,,한경,데일리샷 "희귀 술 구해드립니다…픽업만 하시죠"                                                                                                                                                                                                                                                                                  ,https://www.hankyung.com/economy/article/2021102013811,20737||113056||7779
9696,160707,20210129,Series A,,,,,,,7789||7727
9686,33671,20181219,투자 단계 비공개,,,,더벨,토닥|| 'SJ투자' 마중물로 헬스케어 제품군 확장                                                                                                                                                                                                                                                                                 ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202007210852340800104082&lcode=00,80646
9685,33671,20201020,Series A,,,,더벨,토닥|| 'SJ투자' 마중물로 헬스케어 제품군 확장                                                                                                                                                                                                                                                                                 ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202007210852340800104082&lcode=00,80646||107414||104686
9693,88124,20211031,Angel,500000000,,,,,,7719
9589,130286,20211112,투자 단계 비공개,,,,,,,83800
9588,130286,20211111,투자 단계 비공개,,,,,,,12812
9580,133570,20200518,Seed,2320000000,,,,,,1331||24627||10016
9585,151890,20210601,해당없음,193920000,,,,,,151425
9586,151890,20210823,투자 단계 비공개,1000000000,,,,,,12812
9484,158634,20000705,Angel,700000000,,,,,,158636
9452,112619,20211027,Series A,,,,,,,3422||117803
9468,24483,20210831,Angel,930000000,,,,,,
3301,926,20170720,투자 단계 비공개,3000000000,,,플래텀,재능마켓 크몽|| 알토스벤처스로부터 30억원 규모 투자 유치                                                                                                                                                                                                                                                                            ,http://platum.kr/archives/85170,7697
9362,117821,20210501,Series A,10000000,300000000,,,,,
9416,152442,20211001,투자 단계 비공개,100000000,2000000000,,,,,96378
6531,83487,20181031,Angel,,,,전자신문,AI 디자인 플랫폼 비비빅닷컴 투자 유치                                                                                                                                                                                                                                                                                      ,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002756426,84315||14005||1199
9379,143213,20210106,Series A,6000000000,,,,,,
9584,151890,20201112,해당없음,700000000,,,,,,32418
9579,83650,20211001,Series A,,,,,,,7747
9581,132669,20210820,Seed,,,,,,,
9582,130883,20211111,Seed,,,,,,,7713
9583,159622,20210916,Seed,1000000000,,,,,,
9549,123944,20211105,Seed,500000000,,,,,,7719
9569,105969,20210831,투자 단계 비공개,,,연구소기업 전환,,,,33416
9574,159679,20190630,Series B,12500000000,,,Venture Square,서비스 매칭플랫폼 숨고|| 125억원 시리즈 B 투자 유치                                                                                                                                                                                                                                                                             ,https://www.venturesquare.net/783616,7736||7716||26819||7729||7807||18565||100066
9566,86744,20210114,투자 단계 비공개,250000000,,,,,,159634
9570,105969,20211031,투자 단계 비공개,500000000,,'21년 10월 팁스 프로그램 선정,,,,7719
9595,135776,20170331,Series A,1000000000,,,,,,13930
9628,160257,20210915,Seed,4500000000,,,,,,5466||1875||7720||78955
9603,135776,20210917,Series B,3000102354,,,,,,126638
9591,135776,20151001,Seed,300000000,,,,,,7714
9607,159885,20210101,투자 단계 비공개,300000000,4500000000,,,,,16582
9599,135776,20190918,Series A,499878400,,,,,,8032
9592,135776,20160321,Series A,20000000,,,,,,126638
9605,123944,20211027,Seed,,,,,,,159405
9618,152672,20211115,Seed,100051800,2000000000,,,,,83326
9704,83641,20211201,투자 단계 비공개,1000000000,,,,,,7703
9699,161009,20211108,Seed,,,,,,,1670
9705,161055,20210630,Angel,700000000,50000000000,,,,,161058
9703,124449,20211206,Series A,,,,,,,7717||32330
9700,161009,20211109,Seed,,,,,,,161013
