제품일련번호,기업일련번호,제품국문명,제품영문명,한줄소개내용,제품상세설명,검색태그내용,홈페이지url,앱스토어url,구글플레이url
127937,90232,슬릭마켓,,Eat Good|| Feel Better,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/24,스포츠||쇼핑몰,https://sleekmarket.com/,,
127806,114061,별별선생,starteacher,대한민국 No.1 강사 리뷰 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/25,플랫폼,https://www.starteacher.co.kr/,,
128015,160846,교육서비스 기획/구축,,비대면 원격수업 대비한 LMS|| 스마트러닝 시스템 구축,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/26,,,,
128014,160846,검색/추천엔진 개발 및 관리,,콘텐츠 서비스|| 네비게이션 등에 활용되는 검색엔진 개발 관리,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/27,,,,
126601,157526,라커룸,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
128059,160521,휘슬,whistle,프로 스포츠 선수의 레슨과 피드백을 간편하게,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/29,,,,
128055,160884,페포,PEVO,토탈 반려동물 헬스케어 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,#IoT||#헬스케어||반려동물/금융/유통/용품||#반려동물||#강아지,https://pevo.care/,,https://play.google.com/store/apps/details?id=com.ddcares.pevo&hl=ko&gl=US
128042,123032,비이커뮤니케이션즈,Becommunications,멋진광고디자인,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/31,디자인||브랜드||콘텐츠,http://www.e-becom.com,,
128058,160772,창설빌드,CSBuild,부동산에 대한 도시|| 토목|| 건축을 종합적으로 검토하고 최종 대주단에서 검토되는 사업수지분석까지 한번에!,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/32,,https://www.youtube.com/watch?v=kl6MILS44I4&ab_channel=%EB%B6%80%EB%8F%99%EC%82%B0%EC%A3%BC%EC%B9%98%EC%9D%98%EB%8B%A5%ED%84%B0%EA%B9%80,,
23535,76616,코넵,Conap,커피와 냅킨한장으로 시작된 혁신적인 사업의 성공에는 우리가 만든 커머스 플랫폼이 있습니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/33,,,,
127952,113639,이젤리,Easelly,예술품 2차 시장 C2C 거래 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,https://www.easelly.net,,
127395,50,하울라,HAULLA,북미 B2B 폐기물 수거 매칭 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/35,,http://www.haulla.com,,
2368,1979,해피맘,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/36,,http://wearehappymoms.com/,https://itunes.apple.com/us/app/haepimam-yug-amam-pilsuaeb/id680489637?mt=8,https://play.google.com/store/apps/details?id=com.happymom
128186,160953,셀렉트 어드민,Select Admin,무료이용-소스공개-설치형 어드민 제작도구,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/37,Open-source||admin||백오피스||서비스기획/운영||고객관리||데이터베이스,https://docs.selectfromuser.com/,,
127394,18616,탑 스캐너,Top Scanner,택배 대리점에서 쓰는 카메라형  Scanner,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/38,유통/물류/운송||c#||c,,,
128016,160846,자체서비스 Project A,,2022년 런칭될 소셜 기반의 콘텐츠 서비스를 준비중입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/39,,,,
127933,159230,로우 라이브러리,Low Library,문앞에서 종이책을 대여하고 반납하는 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/40,책||배달||문앞,http://www.lowlibrary.co.kr,,
128132,37611,드론 탐지 레이더,Drone Detection Radar,소형의 비행체를 탐지하고 추적할 수 있는 레이더 장치,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/41,,http://www.fionsystems.com,,
128134,37611,드론 관제 운용 소프트웨어,Drone Ground Control Software,드론 등의 무인비행체를 지상에서 조종|| 관제 운용할 수 있는 소프트웨어,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/42,,http://www.fionsystems.com,,
128178,160947,거래소,Exchange,글로벌 마진 거래소,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/43,,,,
128149,130859,코두,CoDo,교육 및 온보딩 솔루션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/44,,https://www.codo.ai/kr/,,
127938,90232,리브잇,,나를 돌보는 푸드웰니스|| 리브잇,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/45,스포츠||쇼핑몰,https://smartstore.naver.com/liveat,,
102141,132640,라인쓰리풋볼,linethree football,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/46,발렌시아CF||축구||해외축구,https://linethree.football,,
128157,106230,알비서,Robotic Secratary,전국민의 똑똑한 업무처리 자동화 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/47,RPA||인공지능비서,https://www.rtary.com/,,
128133,37611,AI 영상인식 솔루션,AI Object Detection|| Classification Solution,딥러닝 인공지능 알고리즘을 이용하여 동영상(특히 항공영상) 내 객체를 탐지하고 식별하는 솔루션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/48,,http://www.fionsystems.com,,
128192,160953,셀렉트 어드민 클라우드,selectfromuser.com,서비스 DB와 API로 5분만에 어드민 페이지 만들기,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/49,SaaS||데이터||데이터베이스||API||노코드||백오피스||마케팅||CRM,https://www.selectfromuser.com/,,
11689,25791,P2P 금융플랫폼 서비스,P2P Platform service,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
127631,160288,핫플,HOTTPL,브랜드와 인플루언서를 연결하는 커머스 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/51,인플루언서||#웹#SNS#플랫폼||스타트업||커머스||브랜드||컨텐츠,http://www.hottpl.com,,
127675,160588,웨이블러,Wavler,모두의 시작|| 내 손위에서 시작하는 플랫폼 서비스♂,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/52,스타트업||플랫폼||창업||무한도전,,,
127678,160588,플랫폼을 위한 개발팀,매칭/역경매/중개/소셜 플랫폼 외주 개발,파트너의 가치가 곧 우리의 가치,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/53,외주개발||앱/웹서비스||스타트업||플랫폼||e-커머스,,,
127707,160610,커넥티드 북스토어 더 세운,,세운상가에 위치한 커넥티드 북스토어 1호점,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/54,서점||독립출판||팝업,,,
127584,160458,주식회사히드라건,Hydragun Co.|| Ltd,해외 운동 선수들이 신뢰하는 Peak Performance 솔루션  브랜드하이드라건입니다,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/55,massagegun||therabody||theragun||hyperice||recovery||sports||fitness,http://www.hydragun.co.kr,,
128180,123938,핀케치,Fincatch,기관투자자를 위한 주문체결 관리 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/56,fincatch||금융||트레이딩,http://www.fincatch.co.kr,,
128151,160550,돌돌,DolDol,마이크로 딜리버리 DB 기반 여행짐 운반/보관 솔루션 'DolDol' O2O플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/57,,https://doldol.net/,,https://play.google.com/store/apps/details?id=com.mobileapp.doldol
127939,90232,슬릭프로젝트,,국내 No.1 팀 트레이닝 프로그램,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/58,스포츠,https://sleekproject.com/,,
127936,152207,인버즈,INBUZZ,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/59,O2O||플랫폼||중개,,,https://play.google.com/store/apps/details?id=com.twowhy.inbuzz
127906,160021,인재추천서비스,Recommendation talent service,인재추천,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/60,,http://www.jobbridge.kr,,https://play.google.com/store/apps/details?id=com.jobbridge&hl=ko&gl=US
127834,2765,오마이브랜드,OMYBRAND,누구나 자신만의 작품과 디자인을 만들 수 있는 -작품 창작 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/61,오마이브랜드||미술NFT||디자인NFT,https://www.omybrand.com,https://apps.apple.com/us/app/id1526914863,https://play.google.com/store/apps/details?id=com.omav.omybrand&hl=ko
127575,160478,본에콜,BonEcole,교육 콘텐츠/서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://www.bonecole.com,,
127599,134468,Mindy Finance,Learn Investing,투자 교육 / 컨텐츠 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,IT/금융||교육,https://mindylabs.com/finance,https://apps.apple.com/by/app/mindy-finance-learn-investing/id1576772295,https://play.google.com/store/apps/details?id=com.mindy.finance
127402,153993,토지,Tozi,메타버스 가상 부동산 거래 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
127958,135797,웨이커,waiker,wake investment|| 12개국 글로벌 AI 투자정보 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/65,웨이커||waiker,http://team.waiker.ai,https://apps.apple.com/kr/app/waiker-wake-investment/id1584943988,https://play.google.com/store/apps/details?id=ai.waiker
24009,77423,광고제작,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/66,,,,
127953,160807,캐치패션,CATCH FASHION,국내 유일 정품 100% 온라인 명품 쇼핑몰,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/67,,http://www.catchfashion.com,https://apps.apple.com/kr/app/%EC%BA%90%EC%B9%98%ED%8C%A8%EC%85%98/id1549631717,https://play.google.com/store/apps/details?id=com.catchfashion.app&hl=en_US&gl=US
127510,159214,찾아줘부동산,findb,새로운 방식의 부동산 중개업,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/68,#프롭테크,http://www.1shop.co.kr/sub03,,
127625,156275,핑키스웨어,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://www.pinkii-swear.me,,
126958,92900,SWG 컬렉션,SWG COLLECTION,프리미엄 니치 향수 컬렉션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://WWW.SWGCOLLECTION.COM,,
125951,159059,Tornado Studio,Tornado Studio,초고해상도 와이드월 그래픽 시스템,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/71,비디오월||TornadoStudio,,,
127462,159230,일생서가,Ilsaeng Seoga,책으로 일하는 사람들을 이어주는 온라인-공간 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,책||서가||예술||디자인/컨설팅||공간디자인,https://www.ilsaengbook.com/,,
127943,90232,hifive,,피트니스 센터를 위한 회원|| 매출|| 운영 종합 관리 CRM 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/73,소프트웨어||SaaS||스포츠||피트니스,https://www.hifive.center/,,
127914,122973,어노위즈,AnnoWiz,인공지능에 의한|| 인공지능을 위한 머신러닝 데이터 전처리 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/74,,https://www.annotation-ai.com/,,
127449,157092,컨셉션,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
127415,160327,야누스 프로,JANUS Pro,얼굴을 4가지광원으로 촬영하여 피부 문제점을 분석하고 제품 또는 케어를 추천합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/76,야누스||피부분석기||JANUS||피부진단기,https://www.pie.co.kr,,
127382,102621,딥러닝 잉글리시,Deep Learning English,AI튜터와 1:1 영어 톡,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,https://play.google.com/store/apps/details?id=ai.mindlogic.deeplearningenglish&hl=ko&gl=kr
127479,77979,가라지,GARAGE,스타트업을 위한 공유오피스 브랜드,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/78,공유오피스,http://garage.glabs.co,,
127497,19961,비디오연구소,VDO LAB,한끗차의 다른 영상 콘텐츠를 만듭니다,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/79,영상제작||#영상#촬영#편집||콘텐츠/영상||영상콘텐츠||홍보영상||바이럴영상||브랜딩영상||킥스타터영상||||영상제작||촬영||홍보영상||이벤트영상||브랜드영상||바이럴영상||크라우드펀딩영상||킥스타터영상||영상제작/광고영상/홍보영상/브랜드필름/바이럴영상,http://www.vdolab.kr,,
127108,160058,신우앤,,화장품 및 생활용품 부자재 디자인 및 생산,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/80,서비스||상품개발/상품기획/디자인/제조,,,
126604,16305,MetaRecords,MetaRecords,Software for records retrieval businesses,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/81,,,,
127949,160805,누아트,nuart,내손안의 갤러리 / 갤러리 중개 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/82,테사||미술품||NFT||아트테크||전시||플랫폼,http://nu-art.kr/,,
127753,160661,다니유치원,,40만 구독자를 보유한 4-10세 유아들을 위한 비대면 유아교육 콘텐츠/ 앱서비스를 제공합니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://www.youtube.com/c/danikinder,,
127715,160621,밀리언픽,,유럽 브랜드 온라인 편집숍,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/84,,https://million-pick.com/,,
127697,129395,스폴-통신,,[스폴-통신] 콘텐츠 제작자의 뉴스레터,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/85,뉴스레터||이메일||콘텐츠||기획||콘텐츠/영상,http://editfolio.ai/newsletter,,
127146,146417,펫브리즈,Petbreeze,반려동물 실시간 위치추적 어플리케이션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/86,,https://petbreeze.co,,
